Hello!
engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_timerele,caseless,simpleicase,PASS,1,252,1,116,716,PASS,1,OK,260,2,148,527
tiny-regex-c,nextmatch,nm1,PASS,1,44,0,0,213,PASS,1,OK,153,0,0,7286683
subreg,nextmatch,nm1,PASS,1,32,0,0,193,PASS,1,OK,276,0,0,19304659
rele,nextmatch,nm2,PASS,1,192,1,193,987,PASS,1,OK,200,2,225,1257
libc,nextmatch,nm2,PASS,1,808,49,2392,9937,PASS,1,OK,15288,70,4768,758
newlib,nextmatch,nm2,PASS,1,372,5,413,5589,PASS,1,OK,372,6,429,3792
PCRE2,nextmatch,nm2,PASS,1,18744,2,203,1836,PASS,1,OK,18744,3,20683,1461
re2,nextmatch,nm2,PASS,1,3648,50,3714,20710,PASS,1,OK,4216,130,8054,1432
tre,nextmatch,nm2,PASS,1,1220,27,4868,12986,PASS,1,OK,1220,29,4968,848
slre,nextmatch,nm2,PASS,1,40,0,0,0,FAIL,0,FAIL,2892,0,0,0
tiny-regex-c,nextmatch,nm2,PASS,1,44,0,0,0,FAIL,0,FAIL,97,0,0,0
subreg,nextmatch,nm2,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,nextmatch,nm3,PASS,1,192,1,196,1216,PASS,1,OK,492,3,260,1702
libc,nextmatch,nm3,PASS,1,808,27,2200,0,FAIL,0,FAIL,15288,83,8244,0
newlib,nextmatch,nm3,FAIL,0,316,3,427,0,FAIL,0,FAIL,0,0,0,0
PCRE2,nextmatch,nm3,PASS,1,18744,2,208,2825,PASS,1,OK,18744,3,20688,2330
re2,nextmatch,nm3,PASS,1,3648,77,6076,43261,PASS,1,OK,4216,200,15310,1570
tre,nextmatch,nm3,PASS,1,2268,29,5420,26344,PASS,1,OK,2268,31,5648,3254
slre,nextmatch,nm3,PASS,1,40,0,0,268,PASS,1,OK,2980,0,0,5370
tiny-regex-c,nextmatch,nm3,PASS,1,44,0,0,0,FAIL,0,FAIL,177,0,0,0
subreg,nextmatch,nm3,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,nextmatch,nm4,PASS,1,192,1,196,1224,PASS,1,OK,492,4,292,2285
libc,nextmatch,nm4,PASS,1,760,24,1984,0,FAIL,0,FAIL,15288,70,6840,0
newlib,nextmatch,nm4,PASS,1,372,8,1560,0,FAIL,0,FAIL,352,8,1560,0
PCRE2,nextmatch,nm4,PASS,1,18744,2,208,2834,PASS,1,OK,18744,3,20688,1718
re2,nextmatch,nm4,PASS,1,3648,77,6076,43463,PASS,1,OK,4216,217,16209,1694
tre,nextmatch,nm4,PASS,1,2268,29,5416,26530,PASS,1,OK,2268,31,5644,4567
slre,nextmatch,nm4,PASS,1,40,0,0,259,PASS,1,OK,2980,0,0,9679
tiny-regex-c,nextmatch,nm4,PASS,1,44,0,0,257,PASS,1,OK,193,0,0,1640
subreg,nextmatch,nm4,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,nextmatch,nm5,PASS,1,192,1,153,779,PASS,1,OK,200,3,217,578
libc,nextmatch,nm5,PASS,1,760,52,2836,10278,PASS,1,OK,15288,77,5368,1446
newlib,nextmatch,nm5,FAIL,0,316,3,403,0,FAIL,0,FAIL,0,0,0,0
PCRE2,nextmatch,nm5,PASS,1,18600,2,202,1900,PASS,1,OK,18600,3,20682,2047
