engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_time
pcre2,perf_nomatch,nomatch2k,PASS,1,18744,2,252,5740,PASS,0,FAIL,18744,3,20732,9383
re2,perf_nomatch,nomatch2k,PASS,1,3740,67,14304,70529,PASS,0,FAIL,4216,117,21356,2396
tre,perf_nomatch,nomatch2k,PASS,1,1252,36,12120,63745,PASS,0,FAIL,1252,38,13020,156104
slre,perf_nomatch,nomatch2k,PASS,1,40,0,0,275,PASS,0,FAIL,2892,0,0,431373
tiny-regex-c,perf_nomatch,nomatch2k,PASS,1,44,0,0,617,PASS,0,FAIL,97,0,0,82962
subreg,perf_nomatch,nomatch2k,PASS,1,32,0,0,217,PASS,0,FAIL,278,0,0,1410
rele,perf_nomatch,nomatch4k,PASS,1,208,1,179,2774,PASS,0,FAIL,404,1,179,4051
libc,perf_nomatch,nomatch4k,PASS,1,816,52,6356,16585,PASS,0,FAIL,15288,66,8572,21804
newlib,perf_nomatch,nomatch4k,PASS,1,352,7,1890,10424,PASS,0,FAIL,352,7,1890,4504
pcre2,perf_nomatch,nomatch4k,PASS,1,18744,2,252,5734,PASS,0,FAIL,18744,3,20732,20321
re2,perf_nomatch,nomatch4k,PASS,1,3740,67,14304,70442,PASS,0,FAIL,4216,117,21356,4013
tre,perf_nomatch,nomatch4k,PASS,1,1252,36,12120,63790,PASS,0,FAIL,1252,38,13020,300125
slre,perf_nomatch,nomatch4k,PASS,1,40,0,0,279,PASS,0,FAIL,2892,0,0,866042
tiny-regex-c,perf_nomatch,nomatch4k,PASS,1,44,0,0,613,PASS,0,FAIL,97,0,0,166329
subreg,perf_nomatch,nomatch4k,PASS,1,32,0,0,228,PASS,0,FAIL,278,0,0,1404
rele,perf_nomatch,nomatch8k,PASS,1,208,1,179,2784,PASS,0,FAIL,404,1,179,7782
libc,perf_nomatch,nomatch8k,PASS,1,816,52,6356,16806,PASS,0,FAIL,15288,73,9680,43934
newlib,perf_nomatch,nomatch8k,PASS,1,352,7,1890,10475,PASS,0,FAIL,352,7,1890,8852
pcre2,perf_nomatch,nomatch8k,PASS,1,18744,2,252,5748,PASS,0,FAIL,18744,3,20732,43974
re2,perf_nomatch,nomatch8k,PASS,1,3740,67,14304,70929,PASS,0,FAIL,4216,117,21356,7320
tre,perf_nomatch,nomatch8k,PASS,1,1252,36,12120,63761,PASS,0,FAIL,1252,38,13020,617092
slre,perf_nomatch,nomatch8k,PASS,1,40,0,0,282,PASS,0,FAIL,2892,0,0,1727183
tiny-regex-c,perf_nomatch,nomatch8k,PASS,1,44,0,0,622,PASS,0,FAIL,97,0,0,332014
subreg,perf_nomatch,nomatch8k,PASS,1,32,0,0,228,PASS,0,FAIL,278,0,0,1416
rele,perf_nomatch,nomatch16k,PASS,1,208,1,179,2781,PASS,0,FAIL,404,1,179,15088
libc,perf_nomatch,nomatch16k,PASS,1,816,52,6356,16557,PASS,0,FAIL,15288,66,8572,87045
newlib,perf_nomatch,nomatch16k,PASS,1,352,7,1890,10489,PASS,0,FAIL,352,7,1890,17593
pcre2,perf_nomatch,nomatch16k,PASS,1,18744,2,252,5788,PASS,0,FAIL,18744,3,20732,86448
re2,perf_nomatch,nomatch16k,PASS,1,3740,67,14304,70511,PASS,0,FAIL,4216,117,21356,13795
tre,perf_nomatch,nomatch16k,PASS,1,1252,36,12120,63799,PASS,0,FAIL,1252,38,13020,1238801
slre,perf_nomatch,nomatch16k,PASS,1,40,0,0,284,PASS,0,FAIL,2892,0,0,3469321
tiny-regex-c,perf_nomatch,nomatch16k,PASS,1,44,0,0,613,PASS,0,FAIL,97,0,0,664652
subreg,perf_nomatch,nomatch16k,PASS,1,32,0,0,225,PASS,0,FAIL,278,0,0,1415
rele,perf_nomatch,nomatch32k,PASS,1,208,1,179,2779,PASS,0,FAIL,404,1,179,29965
libc,perf_nomatch,nomatch32k,PASS,1,816,52,6356,16701,PASS,0,FAIL,15288,73,9680,169685
newlib,perf_nomatch,nomatch32k,PASS,1,352,7,1890,10534,PASS,0,FAIL,352,7,1890,34577
